OmuNaman/hackerai-local-selfhost	team	workos	playwright	playwright.config.ts:24:  workers: 3, // Allow 3 concurrent workers (one per tier spec) 	playwright.config.ts:21:  fullyParallel: true, // Run spec files in parallel (each tier uses different user)	YES	YES	YES	NO			YES	YES	45	2	0	2026-07-30	YES	NO	./e2e/chat-agent.spec.ts:25:    test.use({ storageState: AUTH_STORAGE_PATHS.pro }); || ./e2e/chat-agent.spec.ts:150:    test.use({ storageState: AUTH_STORAGE_PATHS.ultra }); || ./e2e/chat-switching.spec.ts:21:  test.use({ storageState: AUTH_STORAGE_PATHS.pro });
Orbital-InstaFood/InstaFood	team	firebase	cypress	ABSENT	ABSENT	NO	NO	NO	YES			YES	NO	11	4	0	2025-08-30	NO	NO	
OzGyptian/Mend	team	firebase	playwright	playwright.vercel.config.ts:11:  workers: 1, playwright.config.ts:23:  workers: process.env.CI ? 1 : undefined, 	playwright.config.ts:20:  fullyParallel: true,	YES	YES	NO	YES			YES	NO	43	3	0	2026-07-29	YES	NO	./tests/e2e/setup/auth.setup.ts:3: * Not used for storageState — Firebase stores auth in IndexedDB which Playwright can't persist. || ./tests/e2e/live/auth.spec.ts:5:test.use({ storageState: { cookies: [], origins: [] } });
PBLIZZ/portfolio-tracker	team	clerk	playwright	playwright.config.ts:9:  workers: 1,  ||SERIALDECL|| ./e2e/auth.setup.ts:11:setup.describe.configure({ mode: "serial" });	playwright.config.ts:7:  fullyParallel: false,	YES	NO	YES	YES	+clerk_test;		NO	NO	16	1	0	2026-06-18	YES	YES	./playwright.config.ts:26:        storageState: ".playwright/.clerk/user.json", || ./e2e/auth.setup.ts:23:    await page.context().storageState({ path: e2eAuthStatePath });
PacMac-Mobile-LLC/P3-Lending-Protocol2	team	supabase	playwright	ABSENT	playwright.config.ts:9:  fullyParallel: true,	NO	NO	NO	NO		inbucket;	YES	NO	16	4	1	2026-02-17	NO	NO	
PackmindHub/packmind	team	workos	playwright	ABSENT	ABSENT	NO	NO	NO	YES	424242;		NO	NO	0	0	307	2026-08-15	NO	NO	
Plant-for-the-Planet-org/planet-webapp	team	auth0	cypress	ABSENT	ABSENT	NO	NO	NO	YES	424242;		YES	NO	2	0	42	2026-08-14	NO	NO	
QRun-IO/qqq-frontend-next	team	auth0	playwright	playwright.config.ts:8:  workers: process.env.CI ? 1 : undefined, 	playwright.config.ts:5:  fullyParallel: true,	NO	NO	NO	YES	424242;		YES	NO	21	0	0	2026-07-12	NO	NO	
Qbiak-code/stafford-thai-boxing-gym	team	supabase	cypress	ABSENT	ABSENT	NO	NO	NO	NO			NO	NO	2	0	0	2025-08-31	NO	NO	
RSSAgents/tandem	team	supabase	cypress	ABSENT	ABSENT	NO	NO	NO	NO			YES	NO	8	4	0	2026-04-09	NO	NO	
RUSTYBM7/shipnow-portal	team	supabase	playwright	playwright.config.ts:8:  workers: process.env.CI ? 1 : undefined, 	playwright.config.ts:5:  fullyParallel: true,	NO	NO	NO	YES	424242;		YES	NO	4	2	0	2026-05-28	NO	NO	
Radit024/toorock.verse	team	supabase	playwright	ABSENT	ABSENT	NO	NO	NO	NO			NO	NO	1	0	0	2026-04-05	NO	NO	
RegulomeDB/regulome-ui	team	auth0	cypress	ABSENT	ABSENT	NO	NO	NO	NO			NO	NO	22	1	0	2026-06-08	NO	NO	
RiploData/riplo-evals-battleground	team	workos	playwright	playwright.config.ts:8:  workers: process.env.CI ? 1 : undefined, 	playwright.config.ts:5:  fullyParallel: true,	YES	NO	NO	NO			YES	NO	28	1	0	2026-06-25	YES	NO	./vitest.config.ts:14:    globalSetup: './tests/global-setup.ts',
Rise-Republic/Websets	team	workos	playwright	ABSENT	ABSENT	NO	NO	NO	NO			YES	NO	8	1	0	2025-10-27	NO	NO	
RoleModel/betanxt-issuer-portal	team	supabase	playwright	mock-api-server/playwright.config.ts:18:  workers: process.env.CI ? 1 : undefined, issuer-portal/playwright.config.ts:17:  workers: process.env.CI ? 1 : undefined, 	mock-api-server/playwright.config.ts:12:  fullyParallel: true,	YES	NO	NO	YES	424242;		YES	YES	40	2	0	2026-08-14	YES	YES	./mock-api-server/tests/setup.ts:7:export default function globalSetup() { || ./mock-api-server/playwright.config.ts:10:  globalSetup: path.resolve(import.meta.dirname, "tests/setup.ts"),
RyanLisse/rra-v2	team	kinde	playwright	playwright.config.standalone.ts:16:  workers: process.env.CI ? 1 : undefined, playwright.config.simple.ts:8:  workers: 1,  ||SERIALDECL|| ./tests/e2e/complete-system-test.spec.ts:4:  test.describe.configure({ mode: 'serial' }); // Run tests sequentially to a	playwright.config.standalone.ts:7:  fullyParallel: true,	YES	YES	YES	YES	424242;		YES	YES	112	16	0	2025-12-15	YES	YES	./tests/helpers.ts:60:  await context.storageState({ path: storageFile }); || ./tests/helpers.ts:63:  const newContext = await browser.newContext({ storageState: storageFile }); || ./tests/config/playwright-setup.ts:10:async function globalSetup(config: FullConfig) {
SDG-AI-Lab/Digital_Technologies_Radar	team	supabase	cypress	ABSENT	ABSENT	NO	NO	NO	NO			NO	NO	9	0	16	2025-12-16	NO	NO	
SIO-Delhi/sio-delhi.github.io	team	clerk	playwright	playwright.config.ts:8:  workers: process.env.CI ? 1 : undefined, 	playwright.config.ts:5:  fullyParallel: true,	NO	NO	NO	YES	424242;		NO	NO	14	4	1	2026-06-14	NO	NO	
